age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,segmento,dbscan_segmento,agglo_segmento,segmento_nombre
1.4870012357538613,-1.3904044064905081,-0.32102683231538065,-0.38044079984047796,-0.12186666955535815,0.2498541978572159,1.0560218480737893,-0.3831715194128972,1.8467208785492402,5,0.7983097463501548,1042,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
1.2349933498081165,-1.3904044064905081,-0.32102683231538065,-0.38044079984047796,-0.12186666955535815,-0.457270718186818,-0.9469501050797631,-0.3831715194128972,1.8467208785492402,5,0.7983097463501548,1467,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
-0.02504607992060754,1.4049058223116264,-0.32102683231538065,-0.38044079984047796,-0.12186666955535815,-0.08032205754541615,1.0560218480737893,-0.3831715194128972,1.8467208785492402,5,0.7983097463501548,1389,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,0,0,Clientes Cautelosos
1.150990721159535,0.7837257714667076,-0.32102683231538065,-0.38044079984047796,-0.12186666955535815,0.2907800524411395,1.0560218480737893,-0.3831715194128972,1.8467208785492402,5,0.7983097463501548,579,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
1.0669880925109534,-1.3904044064905081,-0.32102683231538065,0.9515661135082849,-0.12186666955535815,-0.41449858444873244,-0.9469501050797631,-0.3831715194128972,1.8467208785492402,5,0.7983097463501548,673,-0.18533993351955774,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
0.05895654872797406,-0.1480443048006706,1.280122388443308,0.9515661135082849,-0.12186666955535815,-0.4711178118430328,1.0560218480737893,2.609797308349585,1.8467208785492402,5,0.7983097463501548,562,-0.18533993351955774,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
1.2349933498081165,-0.1480443048006706,-0.32102683231538065,0.9515661135082849,-0.12186666955535815,-0.2157158621839605,1.0560218480737893,2.609797308349585,1.8467208785492402,6,0.7983097463501548,1201,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
1.5710038644024429,0.1625457206217888,-1.9221760530740692,-0.38044079984047796,-0.12186666955535815,-0.303414122006654,1.0560218480737893,-0.3831715194128972,1.8467208785492402,6,0.7983097463501548,1030,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
-0.36105659451493394,1.4049058223116264,-0.32102683231538065,-0.38044079984047796,-0.12186666955535815,-0.47081009865067247,1.0560218480737893,-0.3831715194128972,1.8467208785492402,6,0.7983097463501548,608,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,0,0,Clientes Cautelosos
-1.1170802523521683,0.7837257714667076,1.280122388443308,-0.38044079984047796,-0.12186666955535815,1.0951423372710372,1.0560218480737893,-0.3831715194128972,1.8467208785492402,6,0.7983097463501548,1297,0.17992191309687508,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,-1,0,Clientes Cautelosos
-0.27705396586635234,-1.3904044064905081,1.280122388443308,-0.38044079984047796,-0.12186666955535815,-0.440346492607,1.0560218480737893,-0.3831715194128972,1.8467208785492402,7,0.7983097463501548,786,-0.5506017801359906,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,1,0,Clientes Cautelosos
-0.9490749950550051,-1.0798143810680487,-0.32102683231538065,-0.38044079984047796,-0.12186666955535815,-0.3760344354036914,1.0560218480737893,-0.3831715194128972,1.8467208785492402,7,0.7983097463501548,1574,-0.18533993351955774,-0.48470382906623216,-0.36265547626507116,0.523874143245499,yes,1,2,0,Clientes Cautelosos
